1331 0x000629ee 0x100629ee  38   39 .rdata  ascii   ?lowerCorner@Terrain@@QAEXPAVTile@@H@Z
1332 0x00062a15 0x10062a15  44   45 .rdata  ascii   ?lowerEdgeCorner@Terrain@@QAEXPAVTile@@H0M@Z
1334 0x00062a66 0x10062a66  43   44 .rdata  ascii   ?pathUpdateRender@Terrain@@QAEXPAVTile@@M@Z
1335 0x00062a92 0x10062a92  34   35 .rdata  ascii   ?render@Terrain@@QAE_NPAVTile@@M@Z
1336 0x00062ab5 0x10062ab5  32   33 .rdata  ascii   ?renderTile@Terrain@@QAEXHHHHH@Z
1339 0x00062b0e 0x10062b0e  33   34 .rdata  ascii   ?setSplineHeight@Terrain@@QAEXM@Z
1340 0x00062b30 0x10062b30  35   36 .rdata  ascii   ?setType@Terrain@@QAEXPAVTile@@HH@Z
1341 0x00062b54 0x10062b54  37   38 .rdata  ascii   ?setWall@Terrain@@QAEXPAVTile@@HH_N@Z
1343 0x00062b99 0x10062b99  39   40 .rdata  ascii   ?stripRender@Terrain@@QAEXPAVTile@@HM@Z
1344 0x00062bc1 0x10062bc1  33   34 .rdata  ascii   ?tileAt@Terrain@@QAEPAVTile@@HH@Z
1345 0x00062be3 0x10062be3  34   35 .rdata  ascii   ?tileHit@Terrain@@QAEPAVTile@@HH@Z
1346 0x00062c06 0x10062c06  30   31 .rdata  ascii   ?updatePath@Terrain@@QAEXHHH@Z
1438 0x0006970a 0x1011370a  17   18 .idata  ascii   gluBuild2DMipmaps
1439 0x0006971e 0x1011371e  17   18 .idata  ascii   gluBuild1DMipmaps
1445 0x00069776 0x10113776   9   10 .idata  ascii   glLightfv
1449 0x000697ac 0x101137ac  16   17 .idata  ascii   glDeleteTextures
1453 0x000697e0 0x101137e0  10   11 .idata  ascii   glVertex2i
1455 0x000697f8 0x101137f8   9   10 .idata  ascii   glColor4f
1457 0x00069812 0x10113812  11   12 .idata  ascii   glBlendFunc
1462 0x0006985c 0x1011385c  11   12 .idata  ascii   glVertex2fv
1466 0x00069892 0x10113892  10   11 .idata  ascii   glVertex3f
1468 0x000698b0 0x101138b0  10   11 .idata  ascii   glNormal3f
1469 0x000698be 0x101138be  13   14 .idata  ascii   glBindTexture
1475 0x00069922 0x10113922  15   16 .idata  ascii   glNormalPointer
1476 0x00069934 0x10113934  15   16 .idata  ascii   glVertexPointer
1480 0x00069974 0x10113974  13   14 .idata  ascii   glGenTextures
1484 0x000699b8 0x101139b8  11   12 .idata  ascii   glVertex3fv
1485 0x000699c6 0x101139c6  11   12 .idata  ascii   glNormal3fv
1517 0x00069be6 0x10113be6  12   13 .idata  ascii   GetLastError
1533 0x00069cea 0x10113cea  12   13 .idata  ascii   SetLastError
1560 0x00069ee4 0x10113ee4  12   13 .idata  ascii   LCMapStringA
1561 0x00069ef4 0x10113ef4  12   13 .idata  ascii   LCMapStringW
1974 0x0006f010 ----------  46   47         ascii   C:\Projects\3DTerrainLowPoly\Debug\Terrain.pdb
