nth      vaddr bind type lib          name                        
  8 0x100b85b8 NONE FUNC USER32.dll   CallWindowProcA
  9 0x100b85bc NONE FUNC USER32.dll   DefWindowProcA
 10 0x100b85c0 NONE FUNC USER32.dll   CreateWindowExA
  1 0x100b86b8 NONE FUNC ole32.dll    CoInitialize
  2 0x100b86bc NONE FUNC ole32.dll    CoCreateInstance
  3 0x100b86c0 NONE FUNC ole32.dll    CoUninitialize
  1 0x100b85f8 NONE FUNC WINMM.dll    midiOutOpen
  2 0x100b85fc NONE FUNC WINMM.dll    waveInClose
  3 0x100b8600 NONE FUNC WINMM.dll    waveInOpen
  4 0x100b8604 NONE FUNC WINMM.dll    waveInAddBuffer
  5 0x100b8608 NONE FUNC WINMM.dll    waveInUnprepareHeader
  6 0x100b860c NONE FUNC WINMM.dll    waveInPrepareHeader
  7 0x100b8610 NONE FUNC WINMM.dll    waveInStart
  8 0x100b8614 NONE FUNC WINMM.dll    waveInStop
  9 0x100b8618 NONE FUNC WINMM.dll    waveInReset
 10 0x100b861c NONE FUNC WINMM.dll    waveInGetNumDevs
 11 0x100b8620 NONE FUNC WINMM.dll    waveInGetDevCapsA
 12 0x100b8624 NONE FUNC WINMM.dll    mmioDescend
 13 0x100b8628 NONE FUNC WINMM.dll    mmioAscend
 14 0x100b862c NONE FUNC WINMM.dll    mmioSetBuffer
 15 0x100b8630 NONE FUNC WINMM.dll    mmioAdvance
 16 0x100b8634 NONE FUNC WINMM.dll    mmioSetInfo
 17 0x100b8638 NONE FUNC WINMM.dll    midiOutShortMsg
 18 0x100b863c NONE FUNC WINMM.dll    midiOutClose
 19 0x100b8640 NONE FUNC WINMM.dll    timeBeginPeriod
 20 0x100b8644 NONE FUNC WINMM.dll    timeSetEvent
 21 0x100b8648 NONE FUNC WINMM.dll    timeKillEvent
 22 0x100b864c NONE FUNC WINMM.dll    timeEndPeriod
 23 0x100b8650 NONE FUNC WINMM.dll    timeGetDevCaps
 24 0x100b8654 NONE FUNC WINMM.dll    timeGetTime
 25 0x100b8658 NONE FUNC WINMM.dll    mmioWrite
 26 0x100b865c NONE FUNC WINMM.dll    mmioStringToFOURCCA
 27 0x100b8660 NONE FUNC WINMM.dll    mmioOpenA
 28 0x100b8664 NONE FUNC WINMM.dll    mmioRead
 29 0x100b8668 NONE FUNC WINMM.dll    mmioGetInfo
 30 0x100b866c NONE FUNC WINMM.dll    mmioSeek
 31 0x100b8670 NONE FUNC WINMM.dll    mmioClose
  2 0x100b83b4 NONE FUNC DSOUND.dll   DirectSoundEnumerateA
