nth      vaddr bind type lib          name                        
 48 0x101134e4 NONE FUNC KERNEL32.dll InterlockedDecrement
 49 0x101134e8 NONE FUNC KERNEL32.dll ReadFile
 50 0x101134ec NONE FUNC KERNEL32.dll IsBadWritePtr
 51 0x101134f0 NONE FUNC KERNEL32.dll IsBadReadPtr
 52 0x101134f4 NONE FUNC KERNEL32.dll HeapValidate
 53 0x101134f8 NONE FUNC KERNEL32.dll RtlUnwind
 54 0x101134fc NONE FUNC KERNEL32.dll GetModuleFileNameA
 55 0x10113500 NONE FUNC KERNEL32.dll GetCommandLineA
 56 0x10113504 NONE FUNC KERNEL32.dll GetVersion
 57 0x10113508 NONE FUNC KERNEL32.dll InitializeCriticalSection
 58 0x1011350c NONE FUNC KERNEL32.dll DeleteCriticalSection
 59 0x10113510 NONE FUNC KERNEL32.dll EnterCriticalSection
 60 0x10113514 NONE FUNC KERNEL32.dll LeaveCriticalSection
 61 0x10113518 NONE FUNC KERNEL32.dll HeapFree
 62 0x1011351c NONE FUNC KERNEL32.dll FatalAppExitA
 63 0x10113520 NONE FUNC KERNEL32.dll HeapAlloc
 64 0x10113524 NONE FUNC KERNEL32.dll TlsSetValue
 65 0x10113528 NONE FUNC KERNEL32.dll VirtualFree
 66 0x1011352c NONE FUNC KERNEL32.dll CloseHandle
 67 0x10113530 NONE FUNC KERNEL32.dll GetCurrentThreadId
 68 0x10113534 NONE FUNC KERNEL32.dll GetProcAddress
 69 0x10113538 NONE FUNC KERNEL32.dll LoadLibraryA
 70 0x1011353c NONE FUNC KERNEL32.dll InterlockedIncrement
 71 0x10113540 NONE FUNC KERNEL32.dll HeapReAlloc
 72 0x10113544 NONE FUNC KERNEL32.dll GetEnvironmentVariableA
 73 0x10113548 NONE FUNC KERNEL32.dll GetLastError
 74 0x1011354c NONE FUNC KERNEL32.dll GetVersionExA
 75 0x10113550 NONE FUNC KERNEL32.dll VirtualAlloc
 76 0x10113554 NONE FUNC KERNEL32.dll GetModuleHandleA
 77 0x10113558 NONE FUNC KERNEL32.dll TerminateProcess
 78 0x1011355c NONE FUNC KERNEL32.dll HeapDestroy
 79 0x10113560 NONE FUNC KERNEL32.dll HeapCreate
 80 0x10113564 NONE FUNC KERNEL32.dll GetCurrentProcess
  1 0x101136d8 NONE FUNC USER32.dll   MessageBoxA
  1 0x101133c0 NONE FUNC GDI32.dll    ChoosePixelFormat
  2 0x101133c4 NONE FUNC GDI32.dll    SetPixelFormat
