=== jgld.dll — Strings ===
 nth      paddr      vaddr len size section type    string                                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0 0x0000004d 0x1000004d  44   45         ascii   !This program cannot be run in DOS mode.\r\r\n$
1444 0x0004ecc9 0x1004ecc9   5    6 .text   ascii   \aZY[f
1445 0x0004ee74 0x1004ee74   6    6 .text   ascii   sfSQR3
1446 0x0004eed8 0x1004eed8   5    6 .text   ascii   \aZY[f
1447 0x0004f096 0x1004f096   6    6 .text   ascii   sfSQR3
1448 0x0004f0fa 0x1004f0fa   5    6 .text   ascii   \aZY[f
1449 0x0004f5d9 0x1004f5d9   4    4 .text   ascii   SVWQ
1450 0x0004f8ff 0x1004f8ff   6    6 .text   ascii   sfSQR3
1451 0x0004f963 0x1004f963   5    5 .text   ascii   \aZY[F
1452 0x0004fa3e 0x1004fa3e   6    6 .text   ascii   sfSQR3
1453 0x0004faa2 0x1004faa2   5    5 .text   ascii   \aZY[F
1454 0x0004fb8a 0x1004fb8a   6    6 .text   ascii   sfSQR3
1455 0x0004fbee 0x1004fbee   5    5 .text   ascii   \aZY[N
1456 0x0004fcc9 0x1004fcc9   6    6 .text   ascii   sfSQR3
1457 0x0004fd2d 0x1004fd2d   5    5 .text   ascii   \aZY[N
1458 0x0004fe93 0x1004fe93  10   11 .text   ibm037  »H»Fr79the
1459 0x0004feb7 0x1004feb7  10   11 .text   ibm037  »H»Fr79t e
1460 0x00050043 0x10050043   6    6 .text   ascii   sfSQR3
1461 0x000500a7 0x100500a7   5    6 .text   ascii   \aZY[f
1462 0x00050245 0x10050245   6    6 .text   ascii   sfSQR3
1463 0x000502a9 0x100502a9   5    6 .text   ascii   \aZY[f
1464 0x00050454 0x10050454   6    6 .text   ascii   sfSQR3
1465 0x000504b8 0x100504b8   5    6 .text   ascii   \aZY[f
1466 0x00050676 0x10050676   6    6 .text   ascii   sfSQR3
1467 0x000506da 0x100506da   5    6 .text   ascii   \aZY[f
1468 0x00050bb9 0x10050bb9   4    4 .text   ascii   SVWQ
1469 0x00050edf 0x10050edf   6    6 .text   ascii   sjSQR3
1470 0x00050f47 0x10050f47   5    5 .text   ascii   \aZY[F
1471 0x00050fa4 0x10050fa4   4    5 .text   ibm037  4YOP
1472 0x00051026 0x10051026   6    6 .text   ascii   sjSQR3
1473 0x0005108e 0x1005108e   5    5 .text   ascii   \aZY[F
1474 0x0005117a 0x1005117a   6    6 .text   ascii   sjSQR3
1475 0x000511e2 0x100511e2   5    5 .text   ascii   \aZY[N
1476 0x000512c1 0x100512c1   6    6 .text   ascii   sjSQR3
1477 0x00051329 0x10051329   5    5 .text   ascii   \aZY[N
1478 0x00051493 0x10051493  10   11 .text   ibm037  »H»Fr79the
1479 0x000514b7 0x100514b7  10   11 .text   ibm037  »H»Fr79t e
1480 0x00051643 0x10051643   6    6 .text   ascii   sjSQR3
1481 0x000516ab 0x100516ab   5    6 .text   ascii   \aZY[f
1482 0x00051849 0x10051849   6    6 .text   ascii   sjSQR3
1483 0x000518b1 0x100518b1   5    6 .text   ascii   \aZY[f
1484 0x00051a5c 0x10051a5c   6    6 .text   ascii   sjSQR3
1485 0x00051ac4 0x10051ac4   5    6 .text   ascii   \aZY[f
1486 0x00051c82 0x10051c82   6    6 .text   ascii   sjSQR3
1487 0x00051cea 0x10051cea   5    6 .text   ascii   \aZY[f
1488 0x000521d9 0x100521d9   4    4 .text   ascii   SVWQ
1489 0x000524ff 0x100524ff   6    6 .text   ascii   sjSQR3
1490 0x00052567 0x10052567   5    5 .text   ascii   \aZY[F
1491 0x00052646 0x10052646   6    6 .text   ascii   sjSQR3
1492 0x000526ae 0x100526ae   5    5 .text   ascii   \aZY[F
1493 0x0005279a 0x1005279a   6    6 .text   ascii   sjSQR3
1494 0x00052802 0x10052802   5    5 .text   ascii   \aZY[N
1495 0x000528e1 0x100528e1   6    6 .text   ascii   sjSQR3
1496 0x00052949 0x10052949   5    5 .text   ascii   \aZY[N
1497 0x00052ab3 0x10052ab3  10   11 .text   ibm037  »H»Fr79the
1498 0x00052ad7 0x10052ad7  10   11 .text   ibm037  »H»Fr79t e
1499 0x00052c63 0x10052c63   6    6 .text   ascii   sjSQR3
1500 0x00052ccb 0x10052ccb   5    6 .text   ascii   \aZY[f
1501 0x00052e69 0x10052e69   6    6 .text   ascii   sjSQR3
1502 0x00052ed1 0x10052ed1   5    6 .text   ascii   \aZY[f
1503 0x0005307c 0x1005307c   6    6 .text   ascii   sjSQR3
1504 0x000530e4 0x100530e4   5    6 .text   ascii   \aZY[f
1505 0x000532a2 0x100532a2   6    6 .text   ascii   sjSQR3
1506 0x0005330a 0x1005330a   5    6 .text   ascii   \aZY[f
1507 0x000537f9 0x100537f9   4    4 .text   ascii   SVWQ
1508 0x00053b1f 0x10053b1f   6    6 .text   ascii   slSQR3
1509 0x00053b89 0x10053b89   5    5 .text   ascii   \aZY[F
1510 0x00053c68 0x10053c68   6    6 .text   ascii   slSQR3
1511 0x00053cd2 0x10053cd2   5    5 .text   ascii   \aZY[F
1512 0x00053dbe 0x10053dbe   6    6 .text   ascii   slSQR3
1513 0x00053e28 0x10053e28   5    5 .text   ascii   \aZY[N
1514 0x00053f07 0x10053f07   6    6 .text   ascii   slSQR3
1515 0x00053f71 0x10053f71   5    5 .text   ascii   \aZY[N
1516 0x000540db 0x100540db  10   11 .text   ibm037  »H»Fr79the
1517 0x000540ff 0x100540ff  10   11 .text   ibm037  »H»Fr79t e
1518 0x0005428b 0x1005428b   6    6 .text   ascii   slSQR3
1519 0x000542f5 0x100542f5   5    6 .text   ascii   \aZY[f
1520 0x00054493 0x10054493   6    6 .text   ascii   slSQR3
1521 0x000544fd 0x100544fd   5    6 .text   ascii   \aZY[f
1522 0x000546a8 0x100546a8   6    6 .text   ascii   slSQR3
1523 0x00054712 0x10054712   5    6 .text   ascii   \aZY[f
1524 0x000548d0 0x100548d0   6    6 .text   ascii   slSQR3
1525 0x0005493a 0x1005493a   5    6 .text   ascii   \aZY[f
1526 0x00054e29 0x10054e29   4    4 .text   ascii   SVWQ
1527 0x0005514f 0x1005514f   6    6 .text   ascii   slSQR3
1528 0x000551b9 0x100551b9   5    5 .text   ascii   \aZY[F
1529 0x00055298 0x10055298   6    6 .text   ascii   slSQR3
1530 0x00055302 0x10055302   5    5 .text   ascii   \aZY[F
1531 0x000553ee 0x100553ee   6    6 .text   ascii   slSQR3
1532 0x00055458 0x10055458   5    5 .text   ascii   \aZY[N
1533 0x00055537 0x10055537   6    6 .text   ascii   slSQR3
1534 0x000555a1 0x100555a1   5    5 .text   ascii   \aZY[N
1535 0x0005570b 0x1005570b  10   11 .text   ibm037  »H»Fr79the
1536 0x0005572f 0x1005572f  10   11 .text   ibm037  »H»Fr79t e
1537 0x000558bb 0x100558bb   6    6 .text   ascii   slSQR3
1538 0x00055925 0x10055925   5    6 .text   ascii   \aZY[f
1539 0x00055ac3 0x10055ac3   6    6 .text   ascii   slSQR3
1540 0x00055b2d 0x10055b2d   5    6 .text   ascii   \aZY[f
1541 0x00055cd8 0x10055cd8   6    6 .text   ascii   slSQR3
1542 0x00055d42 0x10055d42   5    6 .text   ascii   \aZY[f
1543 0x00055f00 0x10055f00   6    6 .text   ascii   slSQR3
1544 0x00055f6a 0x10055f6a   5    6 .text   ascii   \aZY[f
1545 0x00056459 0x10056459   4    4 .text   ascii   SVWQ
1546 0x00056baf 0x10056baf  10   11 .text   ibm037  »H»Fr79the
1547 0x00056bd3 0x10056bd3  10   11 .text   ibm037  »H»Fr79t e
1548 0x000576a9 0x100576a9   4    4 .text   ascii   SVWQ
1549 0x00057e33 0x10057e33  10   11 .text   ibm037  »H»Fr79the
1550 0x00057e57 0x10057e57  10   11 .text   ibm037  »H»Fr79t e
1551 0x00058979 0x10058979   4    4 .text   ascii   SVWQ
1552 0x00058e1c 0x10058e1c   4    4 .text   ascii   |4hH
1553 0x00058fce 0x10058fce  10   11 .text   ibm037  »H»Fr79t{e
1554 0x000591e6 0x100591e6   4    4 .text   ascii   |7hH
1555 0x000594d9 0x100594d9   4    4 .text   ascii   SVWQ
1556 0x00059969 0x10059969   4    4 .text   ascii   |4hH
1557 0x00059b1b 0x10059b1b  10   11 .text   ibm037  »H»Fr79t{e
1558 0x00059d27 0x10059d27   4    4 .text   ascii   |7hH
1559 0x0005a009 0x1005a009   4    4 .text   ascii   SVWQ
1560 0x0005a561 0x1005a561   4    4 .text   ascii   |4hH
1561 0x0005a799 0x1005a799   4    4 .text   ascii   SVWQ
1562 0x0005accc 0x1005accc   4    4 .text   ascii   |4hH
1563 0x0005af09 0x1005af09   4    4 .text   ascii   SVWQ
1564 0x0005b3d5 0x1005b3d5   4    4 .text   ascii   |4hH
1565 0x0005b587 0x1005b587  10   11 .text   ibm037  »H»Fr79t{e
1566 0x0005b7c8 0x1005b7c8   4    4 .text   ascii   |6hH
1567 0x0005bac9 0x1005bac9   4    4 .text   ascii   SVWQ
1568 0x0005bf6b 0x1005bf6b   4    4 .text   ascii   |4hH
1569 0x0005c11d 0x1005c11d  10   11 .text   ibm037  »H»Fr79t{e
1570 0x0005c2d5 0x1005c2d5   7    8 .text   ibm037  &i(QZMÚ
1571 0x0005c31e 0x1005c31e   4    4 .text   ascii   |7hH
1572 0x0005c609 0x1005c609   4    4 .text   ascii   SVWQ
1573 0x0005caee 0x1005caee   4    4 .text   ascii   |4hH
1574 0x0005cca0 0x1005cca0  10   11 .text   ibm037  »H»Fr79t{e
1575 0x0005ceec 0x1005ceec   4    4 .text   ascii   |7hH
1576 0x0005d1f9 0x1005d1f9   4    4 .text   ascii   SVWQ
1577 0x0005d6df 0x1005d6df   4    4 .text   ascii   |4hH
1578 0x0005d891 0x1005d891  10   11 .text   ibm037  »H»Fr79t{e
1579 0x0005dade 0x1005dade   4    4 .text   ascii   |7hH
1580 0x0005dde5 0x1005dde5   5    5 .text   ascii   |SVWQ
1581 0x0005e02f 0x1005e02f   5    5 .text   ascii   'FGJu
1582 0x0005e0ed 0x1005e0ed   5    5 .text   ascii   'FGJu
1583 0x0005e1b8 0x1005e1b8   5    5 .text   ascii   'NGJu
1584 0x0005e276 0x1005e276   5    5 .text   ascii   'NGJu
1585 0x0005e3cc 0x1005e3cc  10   11 .text   ibm037  »H»Fr79thf
1586 0x0005ed85 0x1005ed85   5    5 .text   ascii   |SVWQ
1587 0x0005efcf 0x1005efcf   5    5 .text   ascii   'FGJu
1588 0x0005f08d 0x1005f08d   5    5 .text   ascii   'FGJu
1589 0x0005f158 0x1005f158   5    5 .text   ascii   'NGJu
1590 0x0005f216 0x1005f216   5    5 .text   ascii   'NGJu
1591 0x0005f36c 0x1005f36c  10   11 .text   ibm037  »H»Fr79thf
1592 0x0005fd25 0x1005fd25   5    5 .text   ascii   |SVWQ
1593 0x0005feb9 0x1005feb9   4    5 .text   ibm037  4YAY
1594 0x0005ff80 0x1005ff80   5    5 .text   ascii   \aFGJu
1595 0x00060041 0x10060041   5    5 .text   ascii   \aFGJu
1596 0x0006010f 0x1006010f   5    5 .text   ascii   \aNGJu
1597 0x000601d0 0x100601d0   5    5 .text   ascii   \aNGJu
1598 0x00060297 0x10060297   4    5 .text   ibm037  4YTU
1599 0x000602b2 0x100602b2   4    5 .text   ibm037  4YHU
1600 0x00060326 0x10060326  10   11 .text   ibm037  »H»Fr79thf
1601 0x00060cf5 0x10060cf5   5    5 .text   ascii   |SVWQ
1602 0x00060f5d 0x10060f5d   5    5 .text   ascii   'FGJu
1603 0x00061032 0x10061032   5    5 .text   ascii   'FGJu
1604 0x00061114 0x10061114   5    5 .text   ascii   'NGJu
1605 0x000611e9 0x100611e9   5    5 .text   ascii   'NGJu
1606 0x000612b1 0x100612b1   4    5 .text   ibm037  4YIM
1607 0x00061340 0x10061340  10   11 .text   ibm037  »H»Fr79thf
1608 0x00061db5 0x10061db5   5    5 .text   ascii   |SVWQ
1609 0x00061f98 0x10061f98   4    5 .text   ibm037  4YSG
1610 0x00062012 0x10062012   5    5 .text   ascii   \aFGJu
1611 0x000620dc 0x100620dc   5    5 .text   ascii   \aFGJu
1612 0x000621b3 0x100621b3   5    5 .text   ascii   \aNGJu
1613 0x0006227d 0x1006227d   5    5 .text   ascii   \aNGJu
1614 0x000623d4 0x100623d4  10   11 .text   ibm037  »H»Fr79thf
1615 0x00062dd5 0x10062dd5   5    5 .text   ascii   |SVWQ
1616 0x0006305a 0x1006305a   4    4 .text   ascii   FGJu
1617 0x00063142 0x10063142   4    4 .text   ascii   FGJu
1618 0x00063237 0x10063237   4    4 .text   ascii   NGJu
1619 0x0006331f 0x1006331f   4    4 .text   ascii   NGJu
1620 0x00063475 0x10063475  10   11 .text   ibm037  »H»Fr79thf
1621 0x00063f65 0x10063f65   5    5 .text   ascii   |SVWQ
1622 0x000641c9 0x100641c9   5    5 .text   ascii   \aFGJu
1623 0x0006429a 0x1006429a   5    5 .text   ascii   \aFGJu
1624 0x00064378 0x10064378   5    5 .text   ascii   \aNGJu
1625 0x00064449 0x10064449   5    5 .text   ascii   \aNGJu
1626 0x000645a0 0x100645a0  10   11 .text   ibm037  »H»Fr79thf
1627 0x00064fd5 0x10064fd5   4    4 .text   ascii   @SVW
1628 0x00065015 0x10065015   4    4 .text   ascii   @SVW
1629 0x00065055 0x10065055   4    4 .text   ascii   @SVW
1630 0x000650a5 0x100650a5   4    4 .text   ascii   @SVW
1631 0x000650e5 0x100650e5   4    4 .text   ascii   @SVW
1632 0x00065125 0x10065125   4    4 .text   ascii   @SVW
1633 0x00065165 0x10065165   4    4 .text   ascii   @SVW
1634 0x000651b5 0x100651b5   4    4 .text   ascii   @SVW
1635 0x000651f5 0x100651f5   4    4 .text   ascii   @SVW
1636 0x00065235 0x10065235   4    4 .text   ascii   @SVW
1637 0x00065275 0x10065275   4    4 .text   ascii   @SVW
1638 0x000652c5 0x100652c5   4    4 .text   ascii   @SVW
1639 0x00065305 0x10065305   4    4 .text   ascii   DSVW
1640 0x00065395 0x10065395   4    4 .text   ascii   LSVW
1641 0x00065425 0x10065425   5    5 .text   ascii   PSVWQ
1642 0x000654ca 0x100654ca   5    5 .text   ascii   DSVWQ
1643 0x000655c5 0x100655c5   5    5 .text   ascii   DSVWQ
1644 0x00065635 0x10065635   5    5 .text   ascii   DSVWQ
1645 0x00065675 0x10065675   5    5 .text   ascii   DSVWQ
1646 0x000656c5 0x100656c5   5    5 .text   ascii   DSVWQ
1647 0x000657e5 0x100657e5   5    5 .text   ascii   pSVWQ
1648 0x00065902 0x10065902   5    5 .text   ascii   U\fRhx
1649 0x00065a99 0x10065a99   4    4 .text   ascii   SVWQ
1650 0x00065bf5 0x10065bf5   5    5 .text   ascii   DSVWQ
1651 0x00065c35 0x10065c35   5    5 .text   ascii   hSVWQ
1652 0x00065cc1 0x10065cc1   5    5 .text   ascii   ;U\buX
1653 0x00065cd6 0x10065cd6   5    5 .text   ascii   ;E\fuC
1654 0x00065ce8 0x10065ce8   5    6 .text   ascii   L\b\f;M
1655 0x00065da5 0x10065da5   5    5 .text   ascii   DSVWQ
1656 0x00065ea5 0x10065ea5   5    5 .text   ascii   TSVWQ
1657 0x00065f12 0x10065f12   5    6 .text   ascii   \f\b;M\b
1658 0x00065f2d 0x10065f2d   5    5 .text   ascii   ;U\fuv
1659 0x00066045 0x10066045   5    5 .text   ascii   TSVWQ
1660 0x000660e7 0x100660e7   7    7 .text   ascii   \f\b;M\buu
1661 0x000660fe 0x100660fe   5    5 .text   ascii   ;U\fu`
1662 0x00066205 0x10066205   5    5 .text   ascii   LSVWQ
1663 0x000662a9 0x100662a9   4    4 .text   ascii   SVWQ
1664 0x0006633d 0x1006633d   5    5 .text   ascii   9E\b|\n
1665 0x00066475 0x10066475   5    5 .text   ascii   \SVWQ
1666 0x00066655 0x10066655   5    5 .text   ascii   DSVWQ
1667 0x000666b5 0x100666b5   5    5 .text   ascii   DSVWQ
1668 0x00066715 0x10066715   5    5 .text   ascii   DSVWQ
1669 0x00066785 0x10066785   5    5 .text   ascii   LSVWQ
1670 0x000667dc 0x100667dc   4    4 .text   ascii   \b_^[
1671 0x00066815 0x10066815   5    5 .text   ascii   DSVWQ
1672 0x0006683e 0x1006683e   4    5 .text   ascii   E\bPj
1673 0x00066899 0x10066899   4    4 .text   ascii   SVWQ
1674 0x00066975 0x10066975   5    5 .text   ascii   DSVWQ
1675 0x000669e5 0x100669e5   5    5 .text   ascii   DSVWQ
1676 0x00066a35 0x10066a35   5    5 .text   ascii   DSVWQ
1677 0x00066a85 0x10066a85   5    5 .text   ascii   DSVWQ
1678 0x00066aa1 0x10066aa1   5    5 .text   ascii   @\f_^[
1679 0x00066ac5 0x10066ac5   5    5 .text   ascii   DSVWQ
1680 0x00066b05 0x10066b05   5    5 .text   ascii   DSVWQ
1681 0x00066b55 0x10066b55   5    5 .text   ascii   DSVWQ
1682 0x00066b71 0x10066b71   5    5 .text   ascii   @\f_^[
1683 0x00066b95 0x10066b95   5    5 .text   ascii   DSVWQ
1684 0x00066bd5 0x10066bd5   5    5 .text   ascii   DSVWQ
1685 0x00066c45 0x10066c45   5    5 .text   ascii   DSVWQ
1686 0x00066cb5 0x10066cb5   5    5 .text   ascii   DSVWQ
1687 0x00066d25 0x10066d25   5    5 .text   ascii   DSVWQ
1688 0x00066d65 0x10066d65   5    5 .text   ascii   DSVWQ
1689 0x00066d95 0x10066d95   5    5 .text   ascii   DSVWQ
1690 0x00066dc5 0x10066dc5   5    5 .text   ascii   DSVWQ
1691 0x00066df5 0x10066df5   5    5 .text   ascii   DSVWQ
1692 0x00066e35 0x10066e35   5    5 .text   ascii   DSVWQ
1693 0x00066e75 0x10066e75   5    5 .text   ascii   DSVWQ
1694 0x00066ea5 0x10066ea5   5    5 .text   ascii   DSVWQ
1695 0x00066ed5 0x10066ed5   5    5 .text   ascii   DSVWQ
1696 0x00066f15 0x10066f15   5    5 .text   ascii   DSVWQ
1697 0x00066f45 0x10066f45   5    5 .text   ascii   DSVWQ
1698 0x00066f85 0x10066f85   5    5 .text   ascii   DSVWQ
1699 0x00066fc5 0x10066fc5   5    5 .text   ascii   DSVWQ
1700 0x00067005 0x10067005   5    5 .text   ascii   DSVWQ
1701 0x00067045 0x10067045   5    5 .text   ascii   DSVWQ
1702 0x00067085 0x10067085   5    5 .text   ascii   DSVWQ
1703 0x000670c5 0x100670c5   5    5 .text   ascii   DSVWQ
1704 0x00067105 0x10067105   5    5 .text   ascii   DSVWQ
1705 0x00067145 0x10067145   5    5 .text   ascii   DSVWQ
1706 0x00067185 0x10067185   5    5 .text   ascii   DSVWQ
1707 0x000671c5 0x100671c5   5    5 .text   ascii   DSVWQ
1708 0x00067205 0x10067205   5    5 .text   ascii   DSVWQ
1709 0x00067245 0x10067245   5    5 .text   ascii   DSVWQ
1710 0x00067285 0x10067285   5    5 .text   ascii   DSVWQ
1711 0x000672c5 0x100672c5   5    5 .text   ascii   DSVWQ
1712 0x00067305 0x10067305   5    5 .text   ascii   DSVWQ
1713 0x00067345 0x10067345   5    5 .text   ascii   DSVWQ
1714 0x00067385 0x10067385   5    5 .text   ascii   DSVWQ
1715 0x000673c5 0x100673c5   5    5 .text   ascii   DSVWQ
1716 0x00067405 0x10067405   5    5 .text   ascii   DSVWQ
1717 0x00067445 0x10067445   5    5 .text   ascii   DSVWQ
1718 0x00067485 0x10067485   5    5 .text   ascii   DSVWQ
1719 0x000674c5 0x100674c5   5    5 .text   ascii   DSVWQ
1720 0x000674f5 0x100674f5   5    5 .text   ascii   DSVWQ
1721 0x00067565 0x10067565   5    5 .text   ascii   DSVWQ
1722 0x000675a5 0x100675a5   5    5 .text   ascii   DSVWQ
1723 0x000675e5 0x100675e5   5    5 .text   ascii   DSVWQ
1724 0x00067645 0x10067645   5    5 .text   ascii   DSVWQ
1725 0x000676a5 0x100676a5   5    5 .text   ascii   DSVWQ
1726 0x00067705 0x10067705   5    5 .text   ascii   DSVWQ
1727 0x00067765 0x10067765   5    5 .text   ascii   DSVWQ
1728 0x000677a5 0x100677a5   5    5 .text   ascii   DSVWQ
1729 0x000677e5 0x100677e5   5    5 .text   ascii   DSVWQ
1730 0x00067825 0x10067825   5    5 .text   ascii   DSVWQ
1731 0x0006786a 0x1006786a   5    5 .text   ascii   PSVWQ
1732 0x0006792a 0x1006792a   5    5 .text   ascii   PSVWQ
1733 0x000679ea 0x100679ea   5    5 .text   ascii   PSVWQ
1734 0x00067aaa 0x10067aaa   5    5 .text   ascii   PSVWQ
1735 0x00067b55 0x10067b55   5    5 .text   ascii   PSVWQ
1736 0x00067bd5 0x10067bd5   5    5 .text   ascii   PSVWQ
1737 0x00067c55 0x10067c55   5    5 .text   ascii   PSVWQ
1738 0x00067cd5 0x10067cd5   5    5 .text   ascii   PSVWQ
1739 0x00067d55 0x10067d55   5    5 .text   ascii   DSVWQ
1740 0x00067da5 0x10067da5   5    5 .text   ascii   DSVWQ
1741 0x00067e05 0x10067e05   5    5 .text   ascii   DSVWQ
1742 0x00067e45 0x10067e45   5    5 .text   ascii   DSVWQ
1743 0x00067e85 0x10067e85   5    5 .text   ascii   DSVWQ
1744 0x00067eac 0x10067eac   4    4 .text   ascii   \b_^[
1745 0x00067ed5 0x10067ed5   5    5 .text   ascii   DSVWQ
1746 0x00067f15 0x10067f15   5    5 .text   ascii   DSVWQ
1747 0x00067f65 0x10067f65   5    5 .text   ascii   DSVWQ
1748 0x00067fa5 0x10067fa5   5    5 .text   ascii   DSVWQ
1749 0x00068005 0x10068005   5    5 .text   ascii   HSVWQ
1750 0x000680a5 0x100680a5   5    5 .text   ascii   DSVWQ
1751 0x00068105 0x10068105   5    5 .text   ascii   HSVWQ
1752 0x000681a5 0x100681a5   5    5 .text   ascii   PSVWQ
1753 0x000681c4 0x100681c4   7    7 .text   ascii   P\f;Q\b}/
1754 0x00068305 0x10068305   5    5 .text   ascii   DSVWQ
1755 0x00068365 0x10068365   5    5 .text   ascii   HSVWQ
1756 0x00068405 0x10068405   5    5 .text   ascii   PSVWQ
1757 0x00068424 0x10068424   7    7 .text   ascii   P\f;Q\b}2
1758 0x00068575 0x10068575   5    5 .text   ascii   DSVWQ
1759 0x000685c5 0x100685c5   5    5 .text   ascii   DSVWQ
1760 0x00068615 0x10068615   5    5 .text   ascii   DSVWQ
1761 0x0006867a 0x1006867a   5    5 .text   ascii   DSVWQ
1762 0x0006877a 0x1006877a   5    5 .text   ascii   HSVWQ
1763 0x00068859 0x10068859   4    4 .text   ascii   SVWQ
1764 0x0006894b 0x1006894b   9   10 .text   ibm037  I7Rh(NFáO
1765 0x00068ae9 0x10068ae9   4    4 .text   ascii   SVWQ
1766 0x00068c0b 0x10068c0b   4    5 .text   ascii   B Pj
1767 0x00068da5 0x10068da5   5    5 .text   ascii   DSVWQ
1768 0x00068e65 0x10068e65   5    5 .text   ascii   LSVWQ
1769 0x00068f35 0x10068f35   4    4 .text   ascii   @SVW
1770 0x00068fa5 0x10068fa5   4    4 .text   ascii   @SVW
1771 0x00069015 0x10069015   5    5 .text   ascii   DSVWQ
1772 0x00069055 0x10069055   5    5 .text   ascii   DSVWQ
1773 0x00069095 0x10069095   5    5 .text   ascii   DSVWQ
1774 0x000690d5 0x100690d5   5    5 .text   ascii   DSVWQ
1775 0x00069105 0x10069105   5    5 .text   ascii   DSVWQ
1776 0x00069145 0x10069145   5    5 .text   ascii   DSVWQ
1777 0x000691b5 0x100691b5   5    5 .text   ascii   DSVWQ
1778 0x00069225 0x10069225   5    5 .text   ascii   DSVWQ
1779 0x00069275 0x10069275   5    5 .text   ascii   DSVWQ
1780 0x000692b5 0x100692b5   4    4 .text   ascii   LSVW
1781 0x00069407 0x10069407   4    4 .text   ascii   DQMB
1782 0x000699c5 0x100699c5   4    4 .text   ascii   DSVW
1783 0x00069a75 0x10069a75   4    4 .text   ascii   @SVW
1784 0x00069a89 0x10069a89   7    7 .text   ascii   E\b;E\ft\f
1785 0x00069b95 0x10069b95   4    4 .text   ascii   @SVW
1786 0x00069c75 0x10069c75   4    4 .text   ascii   \SVW
1787 0x00069cb1 0x10069cb1   4    5 .text   ascii   }\f`r
1788 0x00069cb7 0x10069cb7   5    5 .text   ascii   }\fov%
1789 0x00069d55 0x10069d55   4    4 .text   ascii   @SVW
1790 0x00069db5 0x10069db5   4    4 .text   ascii   @SVW
1791 0x00069e15 0x10069e15   4    4 .text   ascii   @SVW
1792 0x00069e75 0x10069e75   4    4 .text   ascii   @SVW
1793 0x00069ee5 0x10069ee5   4    4 .text   ascii   @SVW
1794 0x00069f45 0x10069f45   4    4 .text   ascii   @SVW
1795 0x00069fb5 0x10069fb5   4    4 .text   ascii   @SVW
1796 0x0006a015 0x1006a015   4    4 .text   ascii   @SVW
1797 0x0006a085 0x1006a085   4    4 .text   ascii   @SVW
1798 0x0006a0e5 0x1006a0e5   4    4 .text   ascii   @SVW
1799 0x0006a155 0x1006a155   5    5 .text   ascii   DSVWQ
1800 0x0006a1f5 0x1006a1f5   5    5 .text   ascii   DSVWQ
1801 0x0006a265 0x1006a265   5    5 .text   ascii   DSVWQ
1802 0x0006a2da 0x1006a2da   5    5 .text   ascii   DSVWQ
1803 0x0006a385 0x1006a385   5    5 .text   ascii   DSVWQ
1804 0x0006a3d5 0x1006a3d5   5    5 .text   ascii   HSVWQ
1805 0x0006a4a5 0x1006a4a5   5    5 .text   ascii   HSVWQ
1806 0x0006a605 0x1006a605   5    5 .text   ascii   HSVWQ
1807 0x0006a6a4 0x1006a6a4   4    5 .text   ibm037  hmaU
1808 0x0006a6bb 0x1006a6bb   4    5 .text   ibm037  hmaV
1809 0x0006a6d2 0x1006a6d2   4    5 .text   ibm037  hmaW
1810 0x0006a865 0x1006a865   5    5 .text   ascii   DSVWQ
1811 0x0006a8e5 0x1006a8e5   5    5 .text   ascii   HSVWQ
1812 0x0006a9a5 0x1006a9a5   5    5 .text   ascii   HSVWQ
1813 0x0006aa75 0x1006aa75   4    4 .text   ascii   HSVW
1814 0x0006ad65 0x1006ad65   4    4 .text   ascii   @SVW
1815 0x0006add5 0x1006add5   5    5 .text   ascii   DSVWQ
1816 0x0006ae55 0x1006ae55   5    5 .text   ascii   HSVWQ
1817 0x0006af05 0x1006af05   5    5 .text   ascii   DSVWQ
1818 0x0006af55 0x1006af55   5    5 .text   ascii   DSVWQ
1819 0x0006afc5 0x1006afc5   5    5 .text   ascii   DSVWQ
1820 0x0006afe4 0x1006afe4   4    4 .text   ascii   \b_^[
1821 0x0006b005 0x1006b005   5    5 .text   ascii   DSVWQ
1822 0x0006b045 0x1006b045   5    5 .text   ascii   DSVWQ
1823 0x0006b085 0x1006b085   5    5 .text   ascii   DSVWQ
1824 0x0006b0f5 0x1006b0f5   5    5 .text   ascii   `SVWQ
1825 0x0006b1d9 0x1006b1d9   4    4 .text   ascii   SVWQ
1826 0x0006b3a5 0x1006b3a5   5    5 .text   ascii   `SVWQ
1827 0x0006b445 0x1006b445   5    5 .text   ascii   `SVWQ
1828 0x0006b4f5 0x1006b4f5   5    5 .text   ascii   `SVWQ
1829 0x0006b5a5 0x1006b5a5   5    5 .text   ascii   `SVWQ
1830 0x0006b735 0x1006b735   5    5 .text   ascii   `SVWQ
1831 0x0006b7e5 0x1006b7e5   5    5 .text   ascii   `SVWQ
1832 0x0006b895 0x1006b895   5    5 .text   ascii   `SVWQ
1833 0x0006b905 0x1006b905   5    5 .text   ascii   `SVWQ
1834 0x0006b975 0x1006b975   5    5 .text   ascii   `SVWQ
1835 0x0006ba25 0x1006ba25   5    5 .text   ascii   `SVWQ
1836 0x0006bac5 0x1006bac5   4    4 .text   ascii   HSVW
1837 0x0006bde5 0x1006bde5   4    4 .text   ascii   \f_^[
