=== jgld.dll — Strings ===
 nth      paddr      vaddr len size section type    string                                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0 0x0000004d 0x1000004d  44   45         ascii   !This program cannot be run in DOS mode.\r\r\n$
  90 0x00004e45 0x10004e45   5    5 .text   ascii   PSVWQ
  91 0x00004f02 0x10004f02   5    5 .text   ascii   E\b_^[
  92 0x00004f5e 0x10004f5e   4    4 .text   ascii   SVWQ
  93 0x0000504e 0x1000504e   4    4 .text   ascii   SVWQ
  94 0x000052b5 0x100052b5   5    5 .text   ascii   DSVWQ
  95 0x00005305 0x10005305   5    5 .text   ascii   DSVWQ
  96 0x00005335 0x10005335   5    5 .text   ascii   DSVWQ
  97 0x00005365 0x10005365   5    5 .text   ascii   DSVWQ
  98 0x000053e5 0x100053e5   5    5 .text   ascii   DSVWQ
  99 0x00005455 0x10005455   5    5 .text   ascii   DSVWQ
 100 0x000054b5 0x100054b5   5    5 .text   ascii   DSVWQ
 101 0x000054f9 0x100054f9   5    5 .text   ascii   J\b_^[
 102 0x00005535 0x10005535   5    5 .text   ascii   DSVWQ
 103 0x000055c5 0x100055c5   5    5 .text   ascii   DSVWQ
 104 0x0000561d 0x1000561d   5    5 .text   ascii   P\b_^[
 105 0x00005655 0x10005655   5    5 .text   ascii   DSVWQ
 106 0x00005695 0x10005695   5    5 .text   ascii   tSVWQ
 107 0x0000580c 0x1000580c   5    5 .text   ascii   A<_^[
 108 0x000058aa 0x100058aa   5    5 .text   ascii   lSVWQ
 109 0x00005995 0x10005995   5    5 .text   ascii   DSVWQ
 110 0x00005a4a 0x10005a4a   5    5 .text   ascii   lSVWQ
 111 0x00005b35 0x10005b35   5    5 .text   ascii   DSVWQ
 112 0x00005bd5 0x10005bd5   5    5 .text   ascii   DSVWQ
 113 0x00005c75 0x10005c75   5    5 .text   ascii   DSVWQ
 114 0x00005d15 0x10005d15   5    5 .text   ascii   PSVWQ
 115 0x00005d8e 0x10005d8e   5    5 .text   ascii   E\b_^[
 116 0x00005dea 0x10005dea   5    5 .text   ascii   |SVWQ
 117 0x00005f32 0x10005f32   5    5 .text   ascii   J \vH 
 118 0x0000600a 0x1000600a   5    5 .text   ascii   lSVWQ
 119 0x000060ea 0x100060ea   5    5 .text   ascii   lSVWQ
 120 0x000061d9 0x100061d9   5    5 .text   ascii   P \vQ 
 121 0x00006275 0x10006275   5    5 .text   ascii   DSVWQ
 122 0x000062e5 0x100062e5   5    5 .text   ascii   DSVWQ
 123 0x00006345 0x10006345   5    5 .text   ascii   TSVWQ
 124 0x000063dd 0x100063dd   5    5 .text   ascii   J _^[
 125 0x00006425 0x10006425   5    5 .text   ascii   `SVWQ
 126 0x000064ce 0x100064ce   5    5 .text   ascii   J _^[
 127 0x00006525 0x10006525   5    5 .text   ascii   `SVWQ
 128 0x000065ce 0x100065ce   5    5 .text   ascii   J _^[
 129 0x00006625 0x10006625   5    5 .text   ascii   `SVWQ
 130 0x000066ce 0x100066ce   5    5 .text   ascii   J _^[
 131 0x00006725 0x10006725   5    5 .text   ascii   DSVWQ
 132 0x00006795 0x10006795   5    5 .text   ascii   LSVWQ
 133 0x00006845 0x10006845   5    5 .text   ascii   DSVWQ
 134 0x000068d5 0x100068d5   5    5 .text   ascii   DSVWQ
 135 0x00006975 0x10006975   4    4 .text   ascii   @SVW
 136 0x000069b5 0x100069b5   4    4 .text   ascii   @SVW
 137 0x000069f5 0x100069f5   4    4 .text   ascii   @SVW
 138 0x00006a45 0x10006a45   4    4 .text   ascii   @SVW
 139 0x00006ab5 0x10006ab5   5    5 .text   ascii   DSVWQ
 140 0x00006b15 0x10006b15   5    5 .text   ascii   DSVWQ
 141 0x00006b85 0x10006b85   5    5 .text   ascii   DSVWQ
 142 0x00006bf5 0x10006bf5   4    4 .text   ascii   LSVW
 143 0x00006c85 0x10006c85   5    5 .text   ascii   DSVWQ
 144 0x00006cf5 0x10006cf5   5    5 .text   ascii   DSVWQ
 145 0x00006d45 0x10006d45   5    5 .text   ascii   DSVWQ
 146 0x00006d61 0x10006d61   5    5 .text   ascii   @\f_^[
 147 0x00006d85 0x10006d85   5    5 .text   ascii   DSVWQ
 148 0x00006df5 0x10006df5   5    5 .text   ascii   dSVWQ
 149 0x00006f5a 0x10006f5a   5    5 .text   ascii   TSVWQ
 150 0x00006fc3 0x10006fc3   7    8 .text   ibm037  é»(UYkw
 151 0x00007105 0x10007105   5    5 .text   ascii   `SVWQ
 152 0x00007246 0x10007246   5    5 .text   ascii   P\f_^[
 153 0x000072b5 0x100072b5   5    5 .text   ascii   LSVWQ
 154 0x000072f3 0x100072f3   7    7 .text   ascii   H\f;M\bu.
 155 0x00007375 0x10007375   5    5 .text   ascii   DSVWQ
 156 0x000073e5 0x100073e5   5    5 .text   ascii   DSVWQ
 157 0x00007455 0x10007455   5    5 .text   ascii   DSVWQ
 158 0x000074b5 0x100074b5   4    4 .text   ascii   @SVW
 159 0x000074f5 0x100074f5   4    4 .text   ascii   @SVW
 160 0x00007535 0x10007535   5    5 .text   ascii   LSVWQ
 161 0x000075b5 0x100075b5   5    5 .text   ascii   PSVWQ
 162 0x00007625 0x10007625   5    5 .text   ascii   DSVWQ
 163 0x0000767a 0x1000767a   5    5 .text   ascii   DSVWQ
 164 0x00007905 0x10007905   5    5 .text   ascii   DSVWQ
 165 0x0000798a 0x1000798a   5    5 .text   ascii   DSVWQ
 166 0x00007c0a 0x10007c0a   5    5 .text   ascii   DSVWQ
 167 0x00007cc5 0x10007cc5   5    5 .text   ascii   DSVWQ
 168 0x00007e49 0x10007e49   4    4 .text   ascii   SVWQ
 169 0x00007e7d 0x10007e7d   7    7 .text   ascii   M\b;H8u#
 170 0x00007e88 0x10007e88   6    7 .text   ascii   E\f;B<u
 171 0x00007e93 0x10007e93   4    5 .text   ascii   Q$;U
 172 0x000081d8 0x100081d8   4    5 .text   ascii   E\bPj
 173 0x00008365 0x10008365   4    4 .text   ascii   @SVW
 174 0x0000839f 0x1000839f   5    5 .text   ascii   A\f_^[
