=== Terrain.dll — Strings ===
 nth      paddr      vaddr len size section type    string                                                                                                                                                                                                                      
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  91 0x00006e95 0x10006e95   5    6 .text   ascii   t\ej\nh
  92 0x00006f94 0x10006f94   5    6 .text   ascii   t\ej\nh
  93 0x00007093 0x10007093   5    6 .text   ascii   t\ej\nh
  94 0x00007152 0x10007152   7    8 .text   ibm037  R)MGe-Ú
  95 0x00007385 0x10007385   5    5 .text   ascii   \SVWQ
  96 0x000076e9 0x100076e9   4    4 .text   ascii   SVWQ
  97 0x00007778 0x10007778   4    5 .text   ascii   \r\f\n\a
  98 0x00007a84 0x10007a84   4    4 .text   ascii   D\n,P
  99 0x000080e5 0x100080e5   5    5 .text   ascii   XSVWQ
 100 0x0000817a 0x1000817a   5   12 .text   utf16le jjjjh
 101 0x000089e9 0x100089e9   4    4 .text   ascii   SVWQ
 102 0x00008a43 0x10008a43   5   12 .text   utf16le jjjjh
 103 0x00008fc5 0x10008fc5   5    5 .text   ascii   PSVWQ
 104 0x00009279 0x10009279   4    4 .text   ascii   SVWQ
 105 0x000092ba 0x100092ba   5   12 .text   utf16le jjjjh
 106 0x000093e0 0x100093e0   4    5 .text   ibm037  LScB
 107 0x00009546 0x10009546  14   15 .text   ibm037  LScB\tiíU»(\bYÕ#
 108 0x000096a5 0x100096a5  14   15 .text   ibm037  LScB\biíU»(\bY°:
 109 0x000097fd 0x100097fd  12   13 .text   ibm037  LScB\fiíYGáUÚ
 110 0x00009ba5 0x10009ba5   5    5 .text   ascii   DSVWQ
 111 0x00009bd4 0x10009bd4   4    5 .text   ibm037  4YFU
 112 0x00009be0 0x10009be0   4    4 .text   ascii   j@h 
 113 0x00009c16 0x10009c16   4    4 .text   ascii   j@h 
 114 0x00009c85 0x10009c85   5    5 .text   ascii   HSVWQ
 115 0x00009cc6 0x10009cc6   4    5 .text   ibm037  4YMT
 116 0x00009e4f 0x10009e4f   7    7 .text   ascii   1T#B_^[
 117 0x00009ed5 0x10009ed5   5    5 .text   ascii   dSVWQ
 118 0x00009f0e 0x10009f0e   4    5 .text   ascii   M\bQj
 119 0x00009fc8 0x10009fc8  14   15 .text   ibm037  7RJ9i(8ûá8cÖ\bù
 120 0x0000a135 0x1000a135   5    5 .text   ascii   PSVWQ
 121 0x0000a3e5 0x1000a3e5   5    5 .text   ascii   DSVWQ
 122 0x0000a455 0x1000a455   5    5 .text   ascii   DSVWQ
 123 0x0000a4b5 0x1000a4b5   5    5 .text   ascii   DSVWQ
 124 0x0000a515 0x1000a515   5    5 .text   ascii   DSVWQ
 125 0x0000a565 0x1000a565   5    5 .text   ascii   DSVWQ
 126 0x0000a5c5 0x1000a5c5   5    5 .text   ascii   DSVWQ
 127 0x0000a625 0x1000a625   5    5 .text   ascii   DSVWQ
 128 0x0000a685 0x1000a685   5    5 .text   ascii   DSVWQ
 129 0x0000a6f5 0x1000a6f5   5    5 .text   ascii   DSVWQ
 130 0x0000a745 0x1000a745   5    5 .text   ascii   `SVWQ
 131 0x0000a845 0x1000a845   5    5 .text   ascii   DSVWQ
 132 0x0000a885 0x1000a885   5    5 .text   ascii   TSVWQ
 133 0x0000a908 0x1000a908   4    5 .text   ascii   ;M\f}
 134 0x0000a975 0x1000a975   5    5 .text   ascii   DSVWQ
 135 0x0000aa15 0x1000aa15   5    5 .text   ascii   LSVWQ
 136 0x0000aad9 0x1000aad9   4    5 .text   ibm037  4YAN
 137 0x0000ab35 0x1000ab35   5    5 .text   ascii   |SVWQ
 138 0x0000abb3 0x1000abb3   4    5 .text   ibm037  4YXM
 139 0x0000abc7 0x1000abc7   4    5 .text   ibm037  4YLM
 140 0x0000ac15 0x1000ac15  12   13 .text   ibm037  ®ÍQûáUQ(MYIP
 141 0x0000acc9 0x1000acc9   4    5 .text   ibm037  4YJL
 142 0x0000adc5 0x1000adc5   5    5 .text   ascii   DSVWQ
 143 0x0000ae13 0x1000ae13   4    4 .text   ascii   4Cu\f
 144 0x0000ae65 0x1000ae65   5    5 .text   ascii   DSVWQ
 145 0x0000aed5 0x1000aed5   5    5 .text   ascii   PSVWQ
 146 0x0000af75 0x1000af75   5    5 .text   ascii   HSVWQ
 147 0x0000afaf 0x1000afaf   5    5 .text   ascii   E\b_^[
 148 0x0000afe5 0x1000afe5   5    5 .text   ascii   HSVWQ
 149 0x0000b014 0x1000b014   5    5 .text   ascii   E\b_^[
 150 0x0000b045 0x1000b045   5    5 .text   ascii   DSVWQ
 151 0x0000b069 0x1000b069   4    4 .text   ascii   @_^[
 152 0x0000b095 0x1000b095   5    5 .text   ascii   LSVWQ
 153 0x0000b105 0x1000b105   5    5 .text   ascii   LSVWQ
 154 0x0000b1bc 0x1000b1bc   5    5 .text   ascii   E\b_^[
 155 0x0000b215 0x1000b215   5    5 .text   ascii   PSVWQ
 156 0x0000b285 0x1000b285   5    5 .text   ascii   DSVWQ
 157 0x0000b2d5 0x1000b2d5   5    5 .text   ascii   DSVWQ
 158 0x0000b325 0x1000b325   5    5 .text   ascii   HSVWQ
 159 0x0000b356 0x1000b356   5    5 .text   ascii   E\b_^[
 160 0x0000b385 0x1000b385   5    5 .text   ascii   DSVWQ
 161 0x0000b3d5 0x1000b3d5   5    5 .text   ascii   DSVWQ
 162 0x0000b402 0x1000b402   4    4 .text   ascii   @_^[
 163 0x0000b435 0x1000b435   5    5 .text   ascii   DSVWQ
 164 0x0000b451 0x1000b451   5    5 .text   ascii   @\b_^[
 165 0x0000b475 0x1000b475   5    5 .text   ascii   LSVWQ
 166 0x0000b4ca 0x1000b4ca   5    5 .text   ascii   E\b_^[
 167 0x0000b505 0x1000b505   5    5 .text   ascii   PSVWQ
 168 0x0000b5b5 0x1000b5b5   5    5 .text   ascii   DSVWQ
 169 0x0000b605 0x1000b605   4    4 .text   ascii   @SVW
 170 0x0000b619 0x1000b619   5    5 .text   ascii   E\b_^[
 171 0x0000b635 0x1000b635   4    4 .text   ascii   @SVW
 172 0x0000b665 0x1000b665   4    4 .text   ascii   @SVW
 173 0x0000b67d 0x1000b67d   4    4 .text   ascii   \b_^[
 174 0x0000b695 0x1000b695   5    5 .text   ascii   DSVWQ
 175 0x0000b6bc 0x1000b6bc   4    4 .text   ascii   \b_^[
 176 0x0000b6e5 0x1000b6e5   5    5 .text   ascii   DSVWQ
 177 0x0000b715 0x1000b715   5    5 .text   ascii   DSVWQ
 178 0x0000b755 0x1000b755   5    5 .text   ascii   DSVWQ
 179 0x0000b7a5 0x1000b7a5   5    5 .text   ascii   DSVWQ
 180 0x0000b805 0x1000b805   5    5 .text   ascii   LSVWQ
 181 0x0000b8c0 0x1000b8c0   5    5 .text   ascii   E\b_^[
 182 0x0000b915 0x1000b915   5    5 .text   ascii   DSVWQ
 183 0x0000b93a 0x1000b93a   4    4 .text   ascii   \b_^[
 184 0x0000b965 0x1000b965   5    5 .text   ascii   DSVWQ
 185 0x0000b9b5 0x1000b9b5   5    5 .text   ascii   DSVWQ
 186 0x0000b9f5 0x1000b9f5   5    5 .text   ascii   DSVWQ
 187 0x0000ba45 0x1000ba45   4    4 .text   ascii   HSVW
 188 0x0000ba59 0x1000ba59   4    5 .text   ascii   E\bPj
 189 0x0000bab5 0x1000bab5   4    4 .text   ascii   @SVW
 190 0x0000bac9 0x1000bac9   5    5 .text   ascii   E\f_^[
 191 0x0000bae5 0x1000bae5   4    4 .text   ascii   @SVW
 192 0x0000bb45 0x1000bb45   4    4 .text   ascii   @SVW
 193 0x0000bb75 0x1000bb75   5    5 .text   ascii   DSVWQ
 194 0x0000bba5 0x1000bba5   5    5 .text   ascii   DSVWQ
 195 0x0000bbd5 0x1000bbd5   4    4 .text   ascii   PSVW
 196 0x0000bcc9 0x1000bcc9   4    5 .text   ibm037  4YJC
 197 0x0000bea2 0x1000bea2   4    5 .text   ascii   Qj\fj
 198 0x0000beb5 0x1000beb5   5    5 .text   ascii   \fu/j\f
 199 0x0000c22a 0x1000c22a   5    5 .text   ascii   DSVWQ
 200 0x0000c2c5 0x1000c2c5   5    5 .text   ascii   LSVWQ
 201 0x0000c3ea 0x1000c3ea   5    5 .text   ascii   DSVWQ
 202 0x0000c525 0x1000c525   5    5 .text   ascii   DSVWQ
 203 0x0000c549 0x1000c549   4    4 .text   ascii   4_^[
 204 0x0000c565 0x1000c565   4    4 .text   ascii   dSVW
 205 0x0000c7b9 0x1000c7b9   4    4 .text   ascii   SVWQ
 206 0x0000ccc9 0x1000ccc9   4    4 .text   ascii   SVWQ
 207 0x0000d485 0x1000d485   5    5 .text   ascii   DSVWQ
 208 0x0000d4d7 0x1000d4d7   4    5 .text   ascii   }\b\at
 209 0x0000d4dd 0x1000d4dd   5    5 .text   ascii   }\b\tu\f
 210 0x0000d549 0x1000d549   4    4 .text   ascii   SVWQ
 211 0x0000de69 0x1000de69   4    4 .text   ascii   SVWQ
 212 0x0000e6c5 0x1000e6c5   5    5 .text   ascii   XSVWQ
 213 0x0000e7c1 0x1000e7c1   5    5 .text   ascii   D\nl;E
 214 0x0000e7d5 0x1000e7d5   5    5 .text   ascii   D\nlPh
 215 0x0000e816 0x1000e816   4    4 .text   ascii   D\nTk
 216 0x0000e911 0x1000e911   4    4 .text   ascii   D\nPP
 217 0x0000ea35 0x1000ea35   5    5 .text   ascii   HSVWQ
 218 0x0000f695 0x1000f695   5    5 .text   ascii   DSVWQ
 219 0x0000f6e5 0x1000f6e5   5    5 .text   ascii   DSVWQ
 220 0x0000f755 0x1000f755   5    5 .text   ascii   DSVWQ
 221 0x0000f7a5 0x1000f7a5   5    5 .text   ascii   DSVWQ
 222 0x0000f7f5 0x1000f7f5   5    5 .text   ascii   HSVWQ
 223 0x00010595 0x10010595   5    5 .text   ascii   DSVWQ
 224 0x000108f5 0x100108f5   5    5 .text   ascii   pSVWQ
 225 0x000116d5 0x100116d5   5    5 .text   ascii   XSVWQ
 226 0x00011d65 0x10011d65   5    5 .text   ascii   \SVWQ
 227 0x00011ef5 0x10011ef5   5    5 .text   ascii   `SVWQ
 228 0x000120be 0x100120be   4    5 .text   ibm037  QdfU
 229 0x0001243f 0x1001243f   6    7 .text   ibm037  »(YQdh
 230 0x000124cc 0x100124cc   6    7 .text   ibm037  »(YQdh
 231 0x00012518 0x10012518   6    7 .text   ibm037  »(YQdh
 232 0x0001272b 0x1001272b   6    7 .text   ibm037  »(UQdh
 233 0x00012777 0x10012777   6    7 .text   ibm037  »(UQdh
 234 0x000127c3 0x100127c3   6    7 .text   ibm037  »(UQdh
 235 0x000128ed 0x100128ed   4    5 .text   ibm037  QdoD
 236 0x00012cf5 0x10012cf5   5    5 .text   ascii   HSVWQ
 237 0x00012e75 0x10012e75   4    4 .text   ascii   @SVW
 238 0x00012ec5 0x10012ec5   5    5 .text   ascii   PSVWQ
 239 0x00012f4b 0x10012f4b   4    5 .text   ascii   y(@|
 240 0x00012f54 0x10012f54   5    5 .text   ascii   z(H}\a
 241 0x00012fcc 0x10012fcc   4    5 .text   ascii   z$\at
 242 0x000131cb 0x100131cb   5    5 .text   ascii   Hp_^[
 243 0x00013325 0x10013325   5    5 .text   ascii   DSVWQ
 244 0x00013365 0x10013365   5    5 .text   ascii   DSVWQ
 245 0x000133a5 0x100133a5   5    5 .text   ascii   DSVWQ
 246 0x00013405 0x10013405   5    5 .text   ascii   DSVWQ
 247 0x00013474 0x10013474   5    5 .text   ascii   z$\at\t
 248 0x0001347d 0x1001347d   5    5 .text   ascii   x$\tu\f
 249 0x00013505 0x10013505   5    5 .text   ascii   DSVWQ
 250 0x00013679 0x10013679   4    4 .text   ascii   SVWQ
 251 0x00013767 0x10013767   4    5 .text   ascii   =\f\n\a
 252 0x00013797 0x10013797   4    5 .text   ascii   =\f\n\a
 253 0x000137df 0x100137df   4    5 .text   ascii   =\f\n\a
 254 0x0001382b 0x1001382b   4    5 .text   ascii   =\f\n\a
 255 0x0001385b 0x1001385b   4    5 .text   ascii   =\f\n\a
 256 0x000138a3 0x100138a3   4    5 .text   ascii   =\f\n\a
 257 0x000138eb 0x100138eb   4    5 .text   ascii   =\f\n\a
 258 0x0001391b 0x1001391b   4    5 .text   ascii   =\f\n\a
 259 0x00013dd5 0x10013dd5   5    5 .text   ascii   HSVWQ
 260 0x00013e94 0x10013e94   4    5 .text   ascii   \t\t\t\t
 261 0x00013e9d 0x10013e9d   5    6 .text   ascii   \t\t\t\t\t
